Sample_ID,roaddist,Needleleaf_3x3,Needleleaf_5x5,Broadleaf_3x3,Broadleaf_5x5,MixedForest_3x3,MixedForest_5x5,ForestOnly_3x3,ForestOnly_5x5,ForestWetland_3x3,ForestWetland_5x5,Wetland_3x3,Wetland_5x5
bam-ak_m:AK_YC:162:1_1:1999-6-27T10:58:0Z:65.58:-143.78,26321.09375,0,3,3,10,0,0,3,13,3,13,0,0
bam-ak_m:AK_YC:162:1_2:1999-6-27T11:21:0Z:65.58:-143.78,26321.09375,0,3,3,10,0,0,3,13,3,13,0,0
bam-ak_m:AK_YC:162:1_3:1999-6-27T11:46:0Z:65.58:-143.78,26321.09375,0,3,3,10,0,0,3,13,3,13,0,0
bam-ak_m:AK_YC:162:1_4:1999-6-27T12:6:0Z:65.58:-143.78,26321.09375,0,3,3,10,0,0,3,13,3,13,0,0
bam-ak_m:AK_YC:162:1_5:1999-6-27T12:30:0Z:65.58:-143.79,25920.07031,0,3,8,19,1,3,9,25,9,25,0,0
bam-ak_m:AK_YC:162:1_6:1999-6-27T13:4:0Z:65.57:-143.79,26606.20313,2,4,0,2,7,19,9,25,9,25,0,0
bam-ak_m:AK_YC:162:1_7:1999-6-27T13:31:0Z:65.57:-143.79,26606.20313,2,4,0,2,7,19,9,25,9,25,0,0
bam-ak_m:AK_YC:162:2_1:1999-6-25T10:53:0Z:65.59:-143.78,25565.01563,1,5,4,9,2,7,7,21,7,21,0,0
bam-ak_m:AK_YC:162:2_10:1999-6-25T14:29:0Z:65.61:-143.77,24200,0,0,0,0,0,0,0,0,0,0,0,0
bam-ak_m:AK_YC:162:2_11:1999-6-25T14:58:0Z:65.61:-143.77,24200,0,0,0,0,0,0,0,0,0,0,0,0
bam-ak_m:AK_YC:162:2_12:1999-6-25T15:30:0Z:65.61:-143.77,24200,0,0,0,0,0,0,0,0,0,0,0,0
bam-ak_m:AK_YC:162:2_13:1999-6-25T16:24:0Z:65.6:-143.77,25021.79102,0,1,0,1,0,0,0,2,0,2,0,0
bam-ak_m:AK_YC:162:2_14:1999-6-25T16:58:0Z:65.6:-143.77,25021.79102,0,1,0,1,0,0,0,2,0,2,0,0
bam-ak_m:AK_YC:162:2_2:1999-6-25T11:16:0Z:65.59:-143.77,25811.81836,0,0,8,21,0,0,8,21,8,21,0,0
bam-ak_m:AK_YC:162:2_3:1999-6-25T11:39:0Z:65.59:-143.77,25811.81836,0,0,8,21,0,0,8,21,8,21,0,0
bam-ak_m:AK_YC:162:2_4:1999-6-25T12:4:0Z:65.59:-143.77,25811.81836,0,0,8,21,0,0,8,21,8,21,0,0
bam-ak_m:AK_YC:162:2_5:1999-6-25T12:24:0Z:65.6:-143.76,25367.10547,4,9,0,0,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:2_6:1999-6-25T12:53:0Z:65.6:-143.76,25367.10547,4,9,0,0,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:2_7:1999-6-25T13:22:0Z:65.6:-143.76,25367.10547,4,9,0,0,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:2_8:1999-6-25T13:44:0Z:65.6:-143.76,25367.10547,4,9,0,0,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:2_9:1999-6-25T14:8:0Z:65.6:-143.76,25367.10547,4,9,0,0,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:3_1:1999-6-26T10:52:0Z:65.59:-143.77,25811.81836,0,0,8,21,0,0,8,21,8,21,0,0
bam-ak_m:AK_YC:162:3_10:1999-6-26T15:37:0Z:65.59:-143.75,26503.58398,0,0,4,9,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:3_11:1999-6-26T16:10:0Z:65.59:-143.75,26503.58398,0,0,4,9,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:3_12:1999-6-26T16:43:0Z:65.59:-143.75,26503.58398,0,0,4,9,0,0,4,9,4,9,0,0
bam-ak_m:AK_YC:162:3_2:1999-6-26T11:24:0Z:65.59:-143.76,26148.99609,0,0,4,16,5,6,9,22,9,22,0,0
