Sample_ID,roaddist,Coniferous_3x3,Deciduous_3x3,ForestOnly_3x3,ForestWetland_3x3,MixedForest_3x3,Wetland_3x3,Coniferous_5x5,Deciduous_5x5,ForestOnly_5x5,ForestWetland_5x5,MixedForest_5x5,Wetland_5x5
bam-mn_m:MNBBA:T101R10a:1:09:2009-6-16T9:19:00Z,524313.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R10a:2:09:2009-6-16T8:45:00Z,527150.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R10a:3:09:2009-6-16T9:3:00Z,525738.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R11a:1:11:2011-6-1T6:25:00Z,527213.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R11a:2:11:2011-6-1T7:6:00Z,529710.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R11a:3:11:2011-6-1T6:43:00Z,529066.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R12a:1:11:2011-6-1T7:33:00Z,531692.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R12a:2:11:2011-6-1T7:46:00Z,531707.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R12a:3:11:2011-6-1T8:10:00Z,529640.1875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R13a:1:11:2011-6-1T10:4:00Z,532573.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R13a:2:11:2011-6-1T9:53:00Z,532256.1875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R13a:3:11:2011-6-1T9:35:00Z,530829.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R14a:1:11:2011-5-30T6:58:00Z,534593.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R14a:2:11:2011-5-30T7:10:00Z,534667.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R14a:3:11:2011-5-30T7:36:00Z,536196.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R15a:1:11:2011-5-30T6:22:00Z,536813.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R15a:2:11:2011-5-30T6:7:00Z,536454.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R15a:3:11:2011-5-30T6:37:00Z,537385.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R16a:1:11:2011-5-30T5:5:00Z,537268.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R16a:2:11:2011-5-30T5:28:00Z,538343.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R16a:3:11:2011-5-30T5:42:00Z,537373.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R17a:1:11:2011-5-27T7:7:00Z,539558.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R17a:2:11:2011-5-27T7:35:00Z,539198.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R17a:3:11:2011-5-27T8:6:00Z,538339.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R18a:1:11:2011-5-28T8:44:00Z,536939.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R18a:2:11:2011-5-28T9:10:00Z,536191.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R18a:3:11:2011-5-28T9:30:00Z,535760.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R19a:1:11:2011-5-27T8:50:00Z,539258.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R19a:2:11:2011-5-27T8:31:00Z,539302.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R19a:3:11:2011-5-27T8:13:00Z,539439,0,0,0,0,0,0,0,0,0,0,0,0
