Sample_ID,roaddist,Needleleaf_3x3,Needleleaf_5x5,Broadleaf_3x3,Broadleaf_5x5,MixedForest_3x3,MixedForest_5x5,ForestOnly_3x3,ForestOnly_5x5,ForestWetland_3x3,ForestWetland_5x5,Wetland_3x3,Wetland_5x5
grass_m:12UWA85:03:2018-6-9T5:27:00Z:50.171474:-109.827553,0.108933528,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWA85:04:2018-6-9T6:17:00Z:50.109009:-109.790222,0.044694431,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWA85:10:2018-6-9T5:54:00Z:50.146191:-109.782066,0.223615715,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWA85:12:2018-6-9T4:48:00Z:50.164436:-109.784828,5.90E-05,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWA85:19:2018-6-9T6:8:00Z:50.116825:-109.782043,0.171301577,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWA85:24:2018-6-9T5:6:00Z:50.164421:-109.800064,0.052389271,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWA85:25:2018-6-9T6:28:00Z:50.098099:-109.815598,0.163308982,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWF81:01:2017-7-1T5:46:00Z:54.288364:-109.748077,0.119504054,0,0,2,5,1,6,3,11,3,11,0,0
grass_m:12UWF81:02:2017-7-1T7:37:00Z:54.274647:-109.680298,0.211382741,0,2,4,11,0,0,4,13,4,13,0,0
grass_m:12UWF81:03:2017-7-1T6:22:00Z:54.237152:-109.752617,0.078950437,0,0,4,13,0,0,4,13,4,13,0,0
grass_m:12UWF81:04:2017-7-1T5:30:00Z:54.290627:-109.755287,0.044076311,0,0,4,11,1,2,5,13,5,13,0,0
grass_m:12UWF81:05:2017-7-1T6:10:00Z:54.237488:-109.762901,0.017189375,0,0,2,9,0,0,2,9,2,9,0,0
grass_m:12UWF81:06:2017-7-2T7:0:00Z:54.318199:-109.69825,0.131144646,0,0,6,18,0,0,6,18,6,18,0,0
grass_m:12UWF81:07:2017-7-2T6:22:00Z:54.311581:-109.75248,0.221873716,0,0,3,10,0,0,3,10,3,10,0,0
grass_m:12UWF81:08:2017-7-2T7:30:00Z:54.318134:-109.627602,826.4509202,0,0,3,10,0,0,3,10,3,10,0,0
grass_m:12UWF81:09:2017-7-1T7:15:00Z:54.273445:-109.714897,0.077676928,0,0,4,15,0,3,4,18,4,18,0,0
grass_m:12UWF81:10:2017-7-2T7:15:00Z:54.318199:-109.682899,0.050622827,0,0,4,11,0,1,4,12,4,12,0,0
grass_m:12UWF81:11:2017-7-1T7:48:00Z:54.272846:-109.657753,0.195174918,0,0,2,9,0,0,2,9,2,9,0,0
grass_m:12UWF81:15:2017-7-1T8:2:00Z:54.279926:-109.657692,566.9856677,0,0,3,9,0,0,3,9,3,9,0,0
grass_m:12UWF81:19:2017-7-2T6:4:00Z:54.265408:-109.732872,0.076647512,0,0,4,17,0,0,4,17,4,17,0,0
grass_m:12UWF81:22:2017-7-2T5:35:00Z:54.258244:-109.727539,819.8418802,2,9,0,0,0,2,2,11,2,11,0,0
grass_m:12UWV79:01:2018-6-13T7:2:00Z:49.597149:-109.912682,548.6486826,0,2,0,0,0,0,0,2,0,2,0,0
grass_m:12UWV79:02:2018-6-14T5:21:00Z:49.635033:-109.904289,0.030292894,0,0,0,1,0,0,0,1,0,1,0,0
grass_m:12UWV79:04:2018-6-13T7:13:00Z:49.59309:-109.90583,1218.53692,1,6,0,0,0,0,1,6,1,6,0,0
grass_m:12UWV79:07:2018-6-14T4:52:00Z:49.643566:-109.931908,0.155222334,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV79:08:2018-6-13T5:2:00Z:49.6464:-109.999275,0.311187624,0,0,0,0,1,6,1,6,1,6,0,0
grass_m:12UWV79:11:2018-6-13T6:2:00Z:49.591694:-109.955376,0.016449444,0,4,0,0,1,3,1,7,1,7,0,0
grass_m:12UWV79:12:2018-6-13T7:23:00Z:49.589565:-109.900002,1793.898183,0,1,0,0,0,0,0,1,0,1,0,0
grass_m:12UWV79:13:2018-6-13T5:21:00Z:49.629169:-109.977882,0.141152755,1,7,0,0,0,0,1,7,1,7,0,0
grass_m:12UWV79:14:2018-6-13T5:42:00Z:49.607536:-109.944862,0.133762908,1,4,0,0,0,0,1,4,1,4,0,0
grass_m:12UWV79:16:2018-6-13T6:30:00Z:49.594154:-109.935234,1010.276771,0,0,0,2,0,0,0,2,0,2,0,0
grass_m:12UWV93:06:2018-5-30T6:58:00Z:49.088646:-109.746262,0.141023838,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV93:21:2018-5-30T7:12:00Z:49.074566:-109.746246,0.210507834,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV93:26:2018-5-30T6:41:00Z:49.10046:-109.746246,0.166774316,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV94:02:2018-5-29T8:5:00Z:49.155518:-109.746246,0.036603004,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV94:13:2018-5-29T6:13:00Z:49.174328:-109.649033,0.347686268,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV94:20:2018-5-30T6:15:00Z:49.120239:-109.746269,0.073376451,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV94:24:2018-5-29T8:58:00Z:49.135326:-109.746262,0.027763979,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV94:28:2018-5-29T6:0:00Z:49.174332:-109.638054,0.442206255,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV94:29:2018-5-29T8:27:00Z:49.14946:-109.746254,0.199487003,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UWV94:30:2018-5-29T7:37:00Z:49.159679:-109.742233,0.1389831,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:01:2018-6-18T6:14:00Z:50.028542:-109.372314,0.151359506,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:02:2018-6-18T7:22:00Z:50.080963:-109.326782,0.03004343,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:03:2018-6-18T6:54:00Z:50.036221:-109.349541,1297.698902,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:04:2018-6-18T6:5:00Z:50.047901:-109.373322,0.16177063,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:05:2018-6-18T6:43:00Z:50.047894:-109.357445,0.001341521,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:06:2018-6-18T5:55:00Z:50.045906:-109.395012,0.136378254,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:07:2018-6-18T7:58:00Z:50.075279:-109.417778,0.188313763,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:08:2018-6-18T5:26:00Z:50.033623:-109.417793,0.223342233,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:10:2018-6-18T7:36:00Z:50.076988:-109.349716,0.066407473,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:11:2018-6-18T7:10:00Z:50.055943:-109.326767,0.030795676,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:12:2018-6-18T7:48:00Z:50.076996:-109.376411,0.16046958,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:15:2018-6-18T6:22:00Z:50.016968:-109.37233,0.210879842,0,0,0,0,0,0,0,0,0,0,0,0
grass_m:12UXA14:16:2018-6-18T5:3:00Z:50.020031:-109.438477,1478.801269,0,0,0,0,0,0,0,0,0,0,0,0
