"Sample_ID","lat.y","lon.y","Shape..","NEAR_FID","NEAR_DIST","TNMFRC","definition","staticOID","Needleleaf_3x3","Needleleaf_5x5","Broadleaf_3x3","Broadleaf_5x5","MixedForest_3x3","MixedForest_5x5","ForestOnly_3x3","ForestOnly_5x5","ForestWetland_3x3","ForestWetland_5x5","Wetland_3x3","Wetland_5x5"
"mnbba:T153R50a:2009-06-20T11:15:0Z:48.0788128039088:-97.0827558292055",48.078813,-97.082756,"Point",120920,3.494214,"4","Local Road",5649,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T157R50a:2011-06-10T11:49:0Z:48.4148371384548:-97.106638510036",48.414837,-97.106639,"Point",85970,1.577054,"4","Local Road",5579,0,0,0,0,0,0,0,0,0,2,0,2
"mnbba:T158R50a:2011-06-10T10:13:0Z:48.5024700183297:-97.107269839925",48.50247,-97.10727,"Point",82066,3.736642,"3","Local Connecting Road",3539,0,0,0,0,0,0,0,0,7,19,7,19
"mnbba:T162R50a:2011-06-19T13:23:0Z:48.8618318781686:-97.1283389298676",48.861832,-97.128339,"Point",65112,0.132079,"4","Local Road",4368,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T157R50a:2011-06-10T11:10:0Z:48.4429423286139:-97.0856670800306",48.442942,-97.085667,"Point",80325,2.37427,"4","Local Road",4096,0,0,0,1,0,0,0,1,3,7,3,6
"mnbba:T158R50a:2011-06-10T10:29:0Z:48.5149318186948:-97.0889376099479",48.514932,-97.088938,"Point",82676,1.283237,"4","Local Road",6301,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T155R50a:2011-06-10T13:17:0Z:48.2609443885747:-97.0650397100117",48.260944,-97.06504,"Point",82402,5.212954,"4","Local Road",2266,0,0,0,0,0,0,0,0,0,4,0,4
"mnbba:T152R50a:2009-06-19T14:14:0Z:47.9979881953413:-97.0423048189585",47.997988,-97.042305,"Point",121670,3.780252,"4","Local Road",4155,0,0,1,3,0,0,1,3,1,3,0,0
"mnbba:T158R50a:2011-06-10T10:46:0Z:48.5424626787895:-97.085263569968",48.542463,-97.085264,"Point",83337,6.398434,"4","Local Road",4169,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T157R50a:2011-06-10T11:24:0Z:48.4422430287036:-97.0750793899872",48.442243,-97.075079,"Point",82123,6.096905,"4","Local Road",6897,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T161R50a:2011-06-19T12:17:0Z:48.789740888093:-97.101424129909",48.789741,-97.101424,"Point",64850,2.272687,"4","Local Road",6117,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T156R50a:2011-06-10T12:14:0Z:48.3594703984322:-97.0660122699108",48.35947,-97.066012,"Point",80984,0.281838,"4","Local Road",3057,0,0,0,0,0,0,0,0,0,1,0,1
"mnbba:T162R50a:2011-06-19T13:37:0Z:48.8694614285355:-97.1064374300311",48.869461,-97.106437,"Point",64749,3.476885,"4","Local Road",3376,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T159R50a:2011-06-19T10:22:0Z:48.6267986183889:-97.0835349699952",48.626799,-97.083535,"Point",61487,4.782488,"4","Local Road",3748,0,0,5,8,0,0,5,8,5,13,0,5
"mnbba:T153R50a:2009-06-20T11:42:0Z:48.1007913259226:-97.0415330441635",48.100791,-97.041533,"Point",116261,0.664932,"4","Local Road",3971,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T153R50a:2009-06-20T11:56:0Z:48.1041216299034:-97.0415664924143",48.104122,-97.041566,"Point",116261,0.584538,"4","Local Road",3122,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T156R50a:2011-06-10T12:32:0Z:48.354699838:-97.0586821299632",48.3547,-97.058682,"Point",85830,5.142465,"4","Local Road",4683,0,0,0,0,0,0,0,0,1,5,1,5
"mnbba:T163R50a:2011-06-19T13:59:0Z:48.9514008183475:-97.1064775799522",48.951401,-97.106478,"Point",64049,3.358743,"4","Local Road",4739,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T154R50a:2009-06-20T12:45:0Z:48.1851425786964:-97.0422377625454",48.185143,-97.042238,"Point",80053,1.75428,"4","Local Road",2462,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T154R50a:2009-06-20T12:59:0Z:48.1884845835167:-97.0422564725185",48.188485,-97.042256,"Point",82731,2.015895,"4","Local Road",6732,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T159R50a:2011-06-18T10:37:0Z:48.631360308848:-97.0752162699713",48.63136,-97.075216,"Point",65230,8.758314,"4","Local Road",3543,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T160R50a:2011-06-19T11:28:0Z:48.7039930982303:-97.0797167598814",48.703993,-97.079717,"Point",62033,0.224389,"4","Local Road",2305,0,0,0,0,0,0,0,0,3,9,3,9
