Sample_ID,roaddist,Needleleaf_3x3,Needleleaf_5x5,Broadleaf_3x3,Broadleaf_5x5,MixedForest_3x3,MixedForest_5x5,ForestOnly_3x3,ForestOnly_5x5,ForestWetland_3x3,ForestWetland_5x5,Wetland_3x3,Wetland_5x5
neon_m:ABBY:ABBY_001:21:2019-05-25T17:14Z:45.772619:-122.346369,177.8126341,9,25,0,0,0,0,9,25,9,25,0,0
neon_m:ABBY:ABBY_001:21:2019-05-26T16:01Z:45.772619:-122.346369,177.8126341,9,25,0,0,0,0,9,25,9,25,0,0
neon_m:ABBY:ABBY_002:21:2017-05-26T14:35Z:45.739055:-122.309112,117.4945992,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_002:21:2017-06-04T14:28Z:45.739055:-122.309112,117.4945992,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_002:21:2018-07-01T14:40Z:45.739055:-122.309112,117.4945992,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_002:21:2019-05-25T13:02Z:45.739055:-122.309112,117.4945992,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_002:21:2019-05-27T12:53Z:45.739055:-122.309112,117.4945992,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_003:21:2017-05-27T16:09Z:45.762016:-122.371092,89.02862741,9,20,0,0,0,0,9,20,9,20,0,0
neon_m:ABBY:ABBY_003:21:2017-06-05T16:25Z:45.762016:-122.371092,89.02862741,9,20,0,0,0,0,9,20,9,20,0,0
neon_m:ABBY:ABBY_003:21:2018-06-21T13:06Z:45.762016:-122.371092,89.02862741,9,20,0,0,0,0,9,20,9,20,0,0
neon_m:ABBY:ABBY_003:21:2019-05-23T17:21Z:45.762016:-122.371092,89.02862741,9,20,0,0,0,0,9,20,9,20,0,0
neon_m:ABBY:ABBY_003:21:2019-05-29T14:29Z:45.762016:-122.371092,89.02862741,9,20,0,0,0,0,9,20,9,20,0,0
neon_m:ABBY:ABBY_004:21:2017-05-26T16:06Z:45.76858:-122.298736,204.5505897,0,2,0,0,0,0,0,2,0,2,0,0
neon_m:ABBY:ABBY_004:21:2017-06-04T16:06Z:45.76858:-122.298736,204.5505897,0,2,0,0,0,0,0,2,0,2,0,0
neon_m:ABBY:ABBY_004:21:2018-07-01T12:58Z:45.76858:-122.298736,204.5505897,0,2,0,0,0,0,0,2,0,2,0,0
neon_m:ABBY:ABBY_004:21:2019-05-26T13:53Z:45.76858:-122.298736,204.5505897,0,2,0,0,0,0,0,2,0,2,0,0
neon_m:ABBY:ABBY_004:21:2019-05-27T15:57Z:45.76858:-122.298736,204.5505897,0,2,0,0,0,0,0,2,0,2,0,0
neon_m:ABBY:ABBY_005:21:2017-05-27T14:41Z:45.770977:-122.389412,395.1311338,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_005:21:2017-06-05T14:50Z:45.770977:-122.389412,395.1311338,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_005:21:2018-06-22T13:08Z:45.770977:-122.389412,395.1311338,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_005:21:2019-05-24T12:59Z:45.770977:-122.389412,395.1311338,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_005:21:2019-05-29T16:40Z:45.770977:-122.389412,395.1311338,0,0,0,0,0,0,0,0,0,0,0,0
neon_m:ABBY:ABBY_006:21:2019-05-25T15:53Z:45.754053:-122.298512,252.1840027,9,25,0,0,0,0,9,25,9,25,0,0
neon_m:ABBY:ABBY_006:21:2019-05-26T17:14Z:45.754053:-122.298512,252.1840027,9,25,0,0,0,0,9,25,9,25,0,0
neon_m:ABBY:ABBY_007:21:2017-05-27T16:31Z:45.768936:-122.361007,994.273862,6,15,0,0,0,0,6,15,6,15,0,0
neon_m:ABBY:ABBY_007:21:2017-06-05T16:52Z:45.768936:-122.361007,994.273862,6,15,0,0,0,0,6,15,6,15,0,0
neon_m:ABBY:ABBY_007:21:2018-06-21T13:47Z:45.768936:-122.361007,994.273862,6,15,0,0,0,0,6,15,6,15,0,0
neon_m:ABBY:ABBY_007:21:2019-05-23T16:01Z:45.768936:-122.361007,994.273862,6,15,0,0,0,0,6,15,6,15,0,0
neon_m:ABBY:ABBY_007:21:2019-05-28T16:21Z:45.768936:-122.361007,994.273862,6,15,0,0,0,0,6,15,6,15,0,0
neon_m:ABBY:ABBY_008:21:2017-05-27T16:54Z:45.771358:-122.355223,514.4233292,9,21,0,0,0,0,9,21,9,21,0,0
neon_m:ABBY:ABBY_008:21:2017-06-05T17:12Z:45.771358:-122.355223,514.4233292,9,21,0,0,0,0,9,21,9,21,0,0
neon_m:ABBY:ABBY_008:21:2018-06-21T14:23Z:45.771358:-122.355223,514.4233292,9,21,0,0,0,0,9,21,9,21,0,0
neon_m:ABBY:ABBY_008:21:2019-05-23T16:35Z:45.771358:-122.355223,514.4233292,9,21,0,0,0,0,9,21,9,21,0,0
neon_m:ABBY:ABBY_008:21:2019-05-28T16:47Z:45.771358:-122.355223,514.4233292,9,21,0,0,0,0,9,21,9,21,0,0
neon_m:ABBY:ABBY_009:21:2017-05-26T16:23Z:45.76561:-122.299532,107.1975629,3,9,0,0,0,0,3,9,3,9,0,0
neon_m:ABBY:ABBY_009:21:2017-06-04T16:23Z:45.76561:-122.299532,107.1975629,3,9,0,0,0,0,3,9,3,9,0,0
