Sample_ID,roaddist,Needleleaf_3x3,Needleleaf_5x5,Broadleaf_3x3,Broadleaf_5x5,MixedForest_3x3,MixedForest_5x5,ForestOnly_3x3,ForestOnly_5x5,ForestWetland_3x3,ForestWetland_5x5,Wetland_3x3,Wetland_5x5
new-england_m:NEWENG:NJ:MORR-18-05:2006:1:2006-05-28TNA:NA:0Z:40.771466:-74.54377,70.45763857,0,0,9,23,0,0,9,23,9,23,0,0
new-england_m:NEWENG:NJ:MORR-18-05:2007:1:2007-06-10T11:40:0Z:40.771466:-74.54377,70.45763857,0,0,9,23,0,0,9,23,9,23,0,0
new-england_m:NEWENG:NJ:MORR-18-05:2010:1:2010-06-15TNA:NA:0Z:40.771466:-74.54377,70.45763857,0,0,9,23,0,0,9,23,9,23,0,0
new-england_m:NEWENG:NJ:MORR-18-05:2011:1:2011-06-14T9:54:0Z:40.771466:-74.54377,70.45763857,0,0,9,23,0,0,9,23,9,23,0,0
new-england_m:NEWENG:NJ:MORR-18-05:2011:2:2011-06-30T9:38:0Z:40.771466:-74.54377,70.45763857,0,0,9,23,0,0,9,23,9,23,0,0
new-england_m:NEWENG:NJ:MORR-18-04:2006:1:2006-05-28TNA:NA:0Z:40.773724:-74.543033,64.40046308,0,0,9,21,0,0,9,21,9,21,0,0
new-england_m:NEWENG:NJ:MORR-18-04:2007:1:2007-06-10T10:55:0Z:40.773724:-74.543033,64.40046308,0,0,9,21,0,0,9,21,9,21,0,0
new-england_m:NEWENG:NJ:MORR-18-04:2010:1:2010-06-15TNA:NA:0Z:40.773724:-74.543033,64.40046308,0,0,9,21,0,0,9,21,9,21,0,0
new-england_m:NEWENG:NJ:MORR-18-04:2011:1:2011-06-14T10:1:0Z:40.773724:-74.543033,64.40046308,0,0,9,21,0,0,9,21,9,21,0,0
new-england_m:NEWENG:NJ:MORR-18-04:2011:2:2011-06-30T12:25:0Z:40.773724:-74.543033,64.40046308,0,0,9,21,0,0,9,21,9,21,0,0
