Sample_ID,roaddist,Needleleaf_3x3,Needleleaf_5x5,Broadleaf_3x3,Broadleaf_5x5,MixedForest_3x3,MixedForest_5x5,ForestOnly_3x3,ForestOnly_5x5,ForestWetland_3x3,ForestWetland_5x5,Wetland_3x3,Wetland_5x5
tima_m:ALA01:2000-09-27T15:2:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2000-11-06T15:18:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2001-01-05T16:30:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2001-03-20T14:50:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2001-04-26T13:56:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2002-05-30T14:20:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2003-04-06T15:56:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2003-05-02T15:55:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2005-04-14T14:23:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA01:2005-05-13T13:32:0Z:37.5948220614:-122.145207523,2587.077201,0,0,0,0,0,0,0,0,9,24,9,24
tima_m:ALA02:2000-09-27T15:2:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2000-11-06T15:18:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2001-01-05T16:30:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2001-03-20T14:50:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2001-04-26T13:56:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2002-05-30T14:20:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2003-04-06T15:56:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2003-05-02T15:55:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2005-04-14T14:15:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA02:2005-05-13T13:42:0Z:37.594559436:-122.142847465,2696.951895,0,0,0,0,0,0,0,0,9,25,9,25
tima_m:ALA03:2000-09-27T15:2:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2000-11-06T15:18:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2001-01-05T16:30:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2001-03-20T14:50:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2001-04-26T13:56:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2002-05-30T14:20:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2003-04-06T15:56:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2003-05-02T15:55:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2005-04-14T14:5:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA03:2005-05-13T13:51:0Z:37.5942788165:-122.140558484,2786.450528,0,0,0,0,0,0,0,0,9,23,9,23
tima_m:ALA04:2000-09-27T15:2:0Z:37.5938094336:-122.138388012,2904.501497,0,0,0,0,0,0,0,0,8,17,8,17
