Sample_ID,roaddist,NeedleLeaf_3x3,Needleleaf_5x5,Broadleaf_3x3,Broadleaf_5x5,MixedForest_3x3,MixedForest_5x5,ForestOnly_3x3,ForestOnly_5x5,ForestWetland_3x3,ForestWetland_5x5,Wetland_3x3,Wetland_5x5
twedt2020:2-23-2023-1:2014-06-27T10:15:0Z:32.784886:-87.51586,12.47116053,0,0,0,0,5,13,5,13,5,13,0,0
twedt2020:2-23-2023-10:2014-06-27T10:15:0Z:32.797126:-87.457805,11.00668367,6,20,0,0,0,0,6,20,6,20,0,0
twedt2020:2-23-2023-11:2014-06-27T10:15:0Z:32.800443:-87.452183,26.57852577,7,18,0,0,0,0,7,18,7,18,0,0
twedt2020:2-23-2023-12:2014-06-27T10:15:0Z:32.805306:-87.446549,14.44435318,0,0,2,5,0,1,2,6,2,6,0,0
twedt2020:2-23-2023-13:2014-06-27T10:15:0Z:32.810996:-87.441651,1.581072621,0,0,3,7,0,4,3,11,5,19,2,8
twedt2020:2-23-2023-14:2014-06-27T10:15:0Z:32.817143:-87.437751,7.664311681,0,0,0,0,5,12,5,12,6,18,1,6
twedt2020:2-23-2023-15:2014-06-27T10:15:0Z:32.823578:-87.43475,10.25624631,0,3,0,0,0,0,0,3,0,3,0,0
twedt2020:2-23-2023-16:2014-06-27T10:15:0Z:32.827064:-87.42948,15.36973388,1,3,0,0,0,3,1,6,1,6,0,0
twedt2020:2-23-2023-17:2014-06-27T10:15:0Z:32.820818:-87.426051,3.24159333,0,0,3,14,0,0,3,14,3,14,0,0
twedt2020:2-23-2023-18:2014-06-27T10:15:0Z:32.814343:-87.42371,1.852067419,0,3,0,0,6,17,6,20,6,20,0,0
twedt2020:2-23-2023-19:2014-06-27T10:15:0Z:32.808011:-87.423209,0.475574654,0,2,0,0,1,9,1,11,1,11,0,0
twedt2020:2-23-2023-2:2014-06-27T10:15:0Z:32.781195:-87.50922,22.90827818,1,7,0,0,3,9,4,16,4,16,0,0
twedt2020:2-23-2023-20:2014-06-27T10:15:0Z:32.802025:-87.419067,9.058580946,1,3,0,0,4,11,5,14,5,14,0,0
twedt2020:2-23-2023-21:2014-06-27T10:15:0Z:32.79608:-87.415003,0.001788249,1,4,0,0,0,3,1,7,1,7,0,0
twedt2020:2-23-2023-22:2014-06-27T10:15:0Z:32.790405:-87.410074,4.414208456,1,5,0,0,2,5,3,10,3,10,0,0
twedt2020:2-23-2023-23:2014-06-27T10:15:0Z:32.7847:-87.405545,4.147351498,0,0,0,3,0,2,0,5,0,5,0,0
twedt2020:2-23-2023-24:2014-06-27T10:15:0Z:32.780482:-87.399046,7.103131382,3,11,0,0,1,5,4,16,4,16,0,0
twedt2020:2-23-2023-25:2014-06-27T10:15:0Z:32.776691:-87.392607,6.427264366,3,16,0,0,0,0,3,16,3,16,0,0
twedt2020:2-23-2023-26:2014-06-27T10:15:0Z:32.772648:-87.385904,19.68410148,5,17,0,0,0,0,5,17,5,17,0,0
twedt2020:2-23-2023-27:2014-06-27T10:15:0Z:32.76876:-87.379151,13.49053404,1,4,3,8,1,6,5,18,5,18,0,0
twedt2020:2-23-2023-28:2014-06-27T10:15:0Z:32.762567:-87.375907,0.091191609,0,0,3,7,1,3,4,10,4,10,0,0
