"Method","Level","Range","Description","Start_Distance","End_Distance","Max_Distance"
ZZ,99,NA,Unknown,NA,NA,NA
"A",1,"0-50","0-50m, 50-100m, 100m+",0,50,400
"A",2,"50-100","0-50m, 50-100m, 100m+",50,100,400
"A",3,"100-Inf","0-50m, 50-100m, 100m+",100,400,400
"B",1,"0-50","0-50m, 50m+",0,50,400
"B",2,"0-50","0-50m, 50m+",50,400,400
"C",1,"0-25","25m bands up to 100m, then 100m+",0,25,400
"C",2,"25-50","25m bands up to 100m, then 100m+",25,50,400
"C",3,"50-75","25m bands up to 100m, then 100m+",50,75,400
"C",4,"75-100","25m bands up to 100m, then 100m+",75,100,400
"C",5,"100-Inf","25m bands up to 100m, then 100m+",100,400,400
"D",1,"0-75","0-75m, 75m+",0,75,400
"D",2,"75-Inf","0-75m, 75m+",75,400,400
"F",1,"0-100","0-100m",0,100,100
"G",1,"0-80","0-80m",0,80,80
"H",1,"0-50","0-50, 50-75, 75-100m",0,50,100
"H",2,"50-75","0-50, 50-75, 75-100m",50,75,100
"H",3,"75-100","0-50, 50-75, 75-100m",75,100,100
"I",1,"0-25","25m bands to 75, 75+, 100+, 100-125",0,25,400
"I",2,"25-50","25m bands to 75, 75+, 100+, 100-125",25,50,400
"I",3,"50-75","25m bands to 75, 75+, 100+, 100-125",50,75,400
"I",4,"75-Inf","25m bands to 75, 75+, 100+, 100-125",75,400,400
"I",5,"100-Inf","25m bands to 75, 75+, 100+, 100-125",100,400,400
"I",6,"100-125","25m bands to 75, 75+, 100+, 100-125",100,125,400
"J",1,"0-50","50m",0,50,50
"K",1,"0-50","50m bands to 150, 150+",0,50,400
"K",2,"50-100","50m bands to 150, 150+",50,100,400
"K",3,"100-150","50m bands to 150, 150+",100,150,400
"K",4,"150-Inf","50m bands to 150, 150+",150,400,400
"L",1,"0-25","25m bands to 150, 150+",0,25,400
"L",2,"25-50","25m bands to 150, 150+",25,50,400
"L",3,"50-75","25m bands to 150, 150+",50,75,400
"L",4,"75-100","25m bands to 150, 150+",75,100,400
"L",5,"100-125","25m bands to 150, 150+",100,125,400
"L",6,"125-150","25m bands to 150, 150+",125,150,400
"L",7,"150-Inf","25m bands to 150, 150+",150,400,400
"N",1,"0-30","0-30, 30-50, 50-75",0,30,75
