"Sample_ID","OD","TSSR","BCR"
"grass_m:12UWA85:03:2018-6-9T11:27:0Z:50.171474:-109.827553",159,0.284433424207899,11
"grass_m:12UWA85:04:2018-6-9T12:17:0Z:50.109009:-109.790222",159,1.11504388842318,11
"grass_m:12UWA85:10:2018-6-9T11:54:0Z:50.146191:-109.782066",159,0.735353780388832,11
"grass_m:12UWA85:12:2018-6-9T10:48:0Z:50.164436:-109.784828",159,-0.363306981523832,11
"grass_m:12UWA85:19:2018-6-9T12:8:0Z:50.116825:-109.782043",159,0.966240057282978,11
"grass_m:12UWA85:24:2018-6-9T11:6:0Z:50.164421:-109.800064",159,-0.064323718018002,11
"grass_m:12UWA85:25:2018-6-9T12:28:0Z:50.098099:-109.815598",159,1.29577762564023,11
"grass_m:12UWF81:01:2017-7-1T11:46:0Z:54.288364:-109.748077",181,0.937644357217683,6
"grass_m:12UWF81:02:2017-7-1T13:37:0Z:54.274647:-109.680298",181,2.79066478689512,6
"grass_m:12UWF81:03:2017-7-1T12:22:0Z:54.237152:-109.752617",181,1.53174648437235,6
"grass_m:12UWF81:04:2017-7-1T11:30:0Z:54.290627:-109.755287",181,0.670744474000401,6
"grass_m:12UWF81:05:2017-7-1T12:10:0Z:54.237488:-109.762901",181,1.33109715461731,6
"grass_m:12UWF81:06:2017-7-2T13:0:0Z:54.318199:-109.69825",182,2.1640759333637,6
"grass_m:12UWF81:07:2017-7-2T12:22:0Z:54.311581:-109.75248",182,1.52640347103278,6
"grass_m:12UWF81:08:2017-7-2T13:30:0Z:54.318134:-109.627602",182,2.66878143813875,6
"grass_m:12UWF81:09:2017-7-1T13:15:0Z:54.273445:-109.714897",181,2.42155883908272,6
"grass_m:12UWF81:10:2017-7-2T13:15:0Z:54.318199:-109.682899",182,2.41509992612733,6
"grass_m:12UWF81:11:2017-7-1T13:48:0Z:54.272846:-109.657753",181,2.97530501855744,6
"grass_m:12UWF81:15:2017-7-1T14:2:0Z:54.279926:-109.657692",181,3.20941668305132,6
"grass_m:12UWF81:19:2017-7-2T12:4:0Z:54.265408:-109.732872",182,1.22268567687935,6
"grass_m:12UWF81:22:2017-7-2T11:35:0Z:54.258244:-109.727539",182,0.73892979019218,6
"grass_m:12UWV79:01:2018-6-13T13:2:0Z:49.597149:-109.912682",163,1.83121879266368,11
"grass_m:12UWV79:02:2018-6-14T11:21:0Z:49.635033:-109.904289",164,0.15371845834785,11
"grass_m:12UWV79:04:2018-6-13T13:13:0Z:49.59309:-109.90583",163,2.01467436565293,11
"grass_m:12UWV79:07:2018-6-14T10:52:0Z:49.643566:-109.931908",164,-0.330748696790801,11
"grass_m:12UWV79:08:2018-6-13T11:2:0Z:49.6464:-109.999275",163,-0.170488624109162,11
"grass_m:12UWV79:11:2018-6-13T12:2:0Z:49.591694:-109.955376",163,0.827923282848464,11
"grass_m:12UWV79:12:2018-6-13T13:23:0Z:49.589565:-109.900002",163,2.18143908116553,11
"grass_m:12UWV79:13:2018-6-13T11:21:0Z:49.629169:-109.977882",163,0.146180712381999,11
"grass_m:12UWV79:14:2018-6-13T11:42:0Z:49.607536:-109.944862",163,0.496596709754732,11
"grass_m:12UWV79:16:2018-6-13T12:30:0Z:49.594154:-109.935234",163,1.29613531847795,11
"grass_m:12UWV93:06:2018-5-30T12:58:0Z:49.088646:-109.746262",149,1.62705943644047,11
"grass_m:12UWV93:21:2018-5-30T13:12:0Z:49.074566:-109.746246",149,1.85936401062542,11
"grass_m:12UWV93:26:2018-5-30T12:41:0Z:49.10046:-109.746246",149,1.34459183103508,11
"grass_m:12UWV94:02:2018-5-29T14:5:0Z:49.155518:-109.746246",148,2.73544485621982,11
"grass_m:12UWV94:13:2018-5-29T12:13:0Z:49.174328:-109.649033",148,0.876623732712534,11
"grass_m:12UWV94:20:2018-5-30T12:15:0Z:49.120239:-109.746269",149,0.912705756425857,11
"grass_m:12UWV94:24:2018-5-29T14:58:0Z:49.135326:-109.746262",148,3.61730972078111,11
"grass_m:12UWV94:28:2018-5-29T12:0:0Z:49.174332:-109.638054",148,0.66068887717194,11
"grass_m:12UWV94:29:2018-5-29T14:27:0Z:49.14946:-109.746254",148,3.10167058050632,11
"grass_m:12UWV94:30:2018-5-29T13:37:0Z:49.159679:-109.742233",148,2.26934815082285,11
"grass_m:12UXA14:01:2018-6-18T12:14:0Z:50.028542:-109.372314",168,1.10656342056062,11
"grass_m:12UXA14:02:2018-6-18T13:22:0Z:50.080963:-109.326782",168,2.24741994606124,11
"grass_m:12UXA14:03:2018-6-18T12:54:0Z:50.036221:-109.349541",168,1.77540490951803,11
"grass_m:12UXA14:04:2018-6-18T12:5:0Z:50.047901:-109.373322",168,0.958151918715901,11
"grass_m:12UXA14:05:2018-6-18T12:43:0Z:50.047894:-109.357445",168,1.59254317753845,11
"grass_m:12UXA14:06:2018-6-18T11:55:0Z:50.045906:-109.395012",168,0.789868464536137,11
"grass_m:12UXA14:07:2018-6-18T13:58:0Z:50.075279:-109.417778",168,2.84086598687702,11
"grass_m:12UXA14:08:2018-6-18T11:26:0Z:50.033623:-109.417793",168,0.303965704772207,11
