"Sample_ID","OD","TSSR","BCR"
"new-england_m:NEWENG:CT:WEFA-29-01:2006:1:2006-06-12T10:19:0Z:41.255752:-73.455064",162,0.979008687535922,30
"new-england_m:NEWENG:CT:WEFA-29-01:2006:2:2006-06-19T10:41:0Z:41.255752:-73.455064",169,1.34145450459586,30
"new-england_m:NEWENG:CT:WEFA-29-01:2009:1:2009-06-11TNA:NA:0Z:41.255752:-73.455064",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-01:2009:2:2009-06-26TNA:NA:0Z:41.255752:-73.455064",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-01:2010:1:2010-06-15TNA:NA:0Z:41.255752:-73.455064",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-01:2010:2:2010-06-30TNA:NA:0Z:41.255752:-73.455064",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-02:2006:1:2006-06-12T10:47:0Z:41.258177:-73.457931",162,1.44562071204185,30
"new-england_m:NEWENG:CT:WEFA-29-02:2006:2:2006-06-19T10:48:0Z:41.258177:-73.457931",169,1.45806859943602,30
"new-england_m:NEWENG:CT:WEFA-29-02:2009:1:2009-06-11TNA:NA:0Z:41.258177:-73.457931",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-02:2009:2:2009-06-26TNA:NA:0Z:41.258177:-73.457931",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-02:2010:1:2010-06-15TNA:NA:0Z:41.258177:-73.457931",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-02:2010:2:2010-06-30TNA:NA:0Z:41.258177:-73.457931",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-03:2006:1:2006-06-12T10:35:0Z:41.257824:-73.455075",162,1.24579123364555,30
"new-england_m:NEWENG:CT:WEFA-29-03:2006:2:2006-06-19TNA:NA:0Z:41.257824:-73.455075",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-03:2009:1:2009-06-11TNA:NA:0Z:41.257824:-73.455075",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-03:2009:2:2009-06-26TNA:NA:0Z:41.257824:-73.455075",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-03:2010:1:2010-06-15TNA:NA:0Z:41.257824:-73.455075",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-03:2010:2:2010-06-30TNA:NA:0Z:41.257824:-73.455075",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-04:2006:1:2006-06-12TNA:NA:0Z:41.259327:-73.45301",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-04:2006:2:2006-06-19TNA:NA:0Z:41.259327:-73.45301",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-04:2009:1:2009-06-11TNA:NA:0Z:41.259327:-73.45301",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-04:2009:2:2009-06-26TNA:NA:0Z:41.259327:-73.45301",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-04:2010:1:2010-06-15TNA:NA:0Z:41.259327:-73.45301",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-04:2010:2:2010-06-30TNA:NA:0Z:41.259327:-73.45301",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-05:2006:1:2006-06-12TNA:NA:0Z:41.261222:-73.452",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-05:2006:2:2006-06-19TNA:NA:0Z:41.261222:-73.452",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-05:2009:1:2009-06-11TNA:NA:0Z:41.261222:-73.452",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-05:2009:2:2009-06-26TNA:NA:0Z:41.261222:-73.452",NA,NA,NA
"new-england_m:NEWENG:CT:WEFA-29-05:2010:1:2010-06-15T10:48:0Z:41.261222:-73.452",165,1.46400668508477,30
"new-england_m:NEWENG:CT:WEFA-29-05:2010:2:2010-06-30TNA:NA:0Z:41.261222:-73.452",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-01:2006:1:2006-06-21TNA:NA:0Z:42.451952:-71.291594",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-01:2007:1:2007-06-17T9:2:0Z:42.451952:-71.291594",167,-0.0903489879104826,30
"new-england_m:NEWENG:MA:MIMA-13-01:2008:1:2008-06-14T9:59:0Z:42.451952:-71.291594",165,0.86077289223671,30
"new-england_m:NEWENG:MA:MIMA-13-01:2009:1:2009-06-13TNA:NA:0Z:42.451952:-71.291594",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-01:2010:1:2010-06-09TNA:NA:0Z:42.451952:-71.291594",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-01:2011:1:2011-06-07TNA:NA:0Z:42.451952:-71.291594",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-02:2006:1:2006-06-21TNA:NA:0Z:42.449948:-71.290487",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-02:2007:1:2007-06-17T9:44:0Z:42.449948:-71.290487",167,0.609605240556929,30
"new-england_m:NEWENG:MA:MIMA-13-02:2008:1:2008-06-14T10:10:0Z:42.449948:-71.290487",165,1.04406103273233,30
"new-england_m:NEWENG:MA:MIMA-13-02:2009:1:2009-06-13TNA:NA:0Z:42.449948:-71.290487",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-02:2010:1:2010-06-09TNA:NA:0Z:42.449948:-71.290487",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-02:2011:1:2011-06-07TNA:NA:0Z:42.449948:-71.290487",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-03:2006:1:2006-06-21TNA:NA:0Z:42.45023:-71.294389",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-03:2007:1:2007-06-17T12:7:0Z:42.45023:-71.294389",167,2.99269525369008,30
"new-england_m:NEWENG:MA:MIMA-13-03:2008:1:2008-06-14T10:2:0Z:42.45023:-71.294389",165,0.910484311117066,30
"new-england_m:NEWENG:MA:MIMA-13-03:2009:1:2009-06-13TNA:NA:0Z:42.45023:-71.294389",NA,NA,NA
