"Sample_ID","OD","TSSR","BCR"
"twedt2020:2-23-2023-1:2014-06-27T10:15:0Z:32.784886:-87.51586",177,-0.485831828779644,27
"twedt2020:2-23-2023-10:2014-06-27T10:15:0Z:32.797126:-87.457805",177,-0.481429122951296,27
"twedt2020:2-23-2023-11:2014-06-27T10:15:0Z:32.800443:-87.452183",177,-0.480910181204478,27
"twedt2020:2-23-2023-12:2014-06-27T10:15:0Z:32.805306:-87.446549",177,-0.480323275460137,27
"twedt2020:2-23-2023-13:2014-06-27T10:15:0Z:32.810996:-87.441651",177,-0.479749493863848,27
"twedt2020:2-23-2023-14:2014-06-27T10:15:0Z:32.817143:-87.437751",177,-0.479222367405891,27
"twedt2020:2-23-2023-15:2014-06-27T10:15:0Z:32.823578:-87.43475",177,-0.478742629157172,27
"twedt2020:2-23-2023-16:2014-06-27T10:15:0Z:32.827064:-87.42948",177,-0.478239713311195,27
"twedt2020:2-23-2023-17:2014-06-27T10:15:0Z:32.820818:-87.426051",177,-0.478282496664259,27
"twedt2020:2-23-2023-18:2014-06-27T10:15:0Z:32.814343:-87.42371",177,-0.478407734831174,27
"twedt2020:2-23-2023-19:2014-06-27T10:15:0Z:32.808011:-87.423209",177,-0.4786494083537,27
"twedt2020:2-23-2023-2:2014-06-27T10:15:0Z:32.781195:-87.50922",177,-0.485549286007881,27
"twedt2020:2-23-2023-20:2014-06-27T10:15:0Z:32.802025:-87.419067",177,-0.478633217347993,27
"twedt2020:2-23-2023-21:2014-06-27T10:15:0Z:32.79608:-87.415003",177,-0.47862040579319,27
"twedt2020:2-23-2023-22:2014-06-27T10:15:0Z:32.790405:-87.410074",177,-0.478538150058852,27
"twedt2020:2-23-2023-23:2014-06-27T10:15:0Z:32.7847:-87.405545",177,-0.478483832610978,27
"twedt2020:2-23-2023-24:2014-06-27T10:15:0Z:32.780482:-87.399046",177,-0.478233567343818,27
"twedt2020:2-23-2023-25:2014-06-27T10:15:0Z:32.776691:-87.392607",177,-0.477968749470181,27
"twedt2020:2-23-2023-26:2014-06-27T10:15:0Z:32.772648:-87.385904",177,-0.477697247332997,27
"twedt2020:2-23-2023-27:2014-06-27T10:15:0Z:32.76876:-87.379151",177,-0.477415666249063,27
"twedt2020:2-23-2023-28:2014-06-27T10:15:0Z:32.762567:-87.375907",177,-0.477468066480425,27
"twedt2020:2-23-2023-29:2014-06-27T10:15:0Z:32.756121:-87.373776",177,-0.477605615258217,27
"twedt2020:2-23-2023-3:2014-06-27T10:15:0Z:32.779347:-87.50128",177,-0.485100044475661,27
"twedt2020:2-23-2023-30:2014-06-27T10:15:0Z:32.75057:-87.37063",177,-0.477636615037918,27
"twedt2020:2-23-2023-31:2014-06-27T10:15:0Z:32.745331:-87.365295",177,-0.477508081065284,27
"twedt2020:2-23-2023-32:2014-06-27T10:15:0Z:32.739625:-87.360642",177,-0.477445242471165,27
"twedt2020:2-23-2023-33:2014-06-27T10:15:0Z:32.733802:-87.357021",177,-0.477456255224016,27
"twedt2020:2-23-2023-34:2014-06-27T10:15:0Z:32.72828:-87.352359",177,-0.477384765015708,27
"twedt2020:2-23-2023-35:2014-06-27T10:15:0Z:32.723378:-87.346937",177,-0.47723568936189,27
"twedt2020:2-23-2023-36:2014-06-27T10:15:0Z:32.721918:-87.339342",177,-0.476792514655325,27
"twedt2020:2-23-2023-37:2014-06-27T10:15:0Z:32.721129:-87.331109",177,-0.47627771364318,27
"twedt2020:2-23-2023-38:2014-06-27T10:15:0Z:32.724241:-87.324147",177,-0.475678592854076,27
"twedt2020:2-23-2023-39:2014-06-27T10:15:0Z:32.72189:-87.317525",177,-0.475338918235567,27
"twedt2020:2-23-2023-4:2014-06-27T10:15:0Z:32.781597:-87.495719",177,-0.484631556404961,27
"twedt2020:2-23-2023-40:2014-06-27T10:15:0Z:32.716184:-87.312678",177,-0.475262989799182,27
"twedt2020:2-23-2023-41:2014-06-27T10:15:0Z:32.714258:-87.305024",177,-0.474836061464416,27
"twedt2020:2-23-2023-42:2014-06-27T10:15:0Z:32.714911:-87.296809",177,-0.474259969790777,27
"twedt2020:2-23-2023-43:2014-06-27T10:15:0Z:32.716157:-87.288682",177,-0.473664048976368,27
"twedt2020:2-23-2023-44:2014-06-27T10:15:0Z:32.714752:-87.280662",177,-0.473190138936043,27
"twedt2020:2-23-2023-45:2014-06-27T10:15:0Z:32.709829:-87.275202",177,-0.473039363225301,27
"twedt2020:2-23-2023-46:2014-06-27T10:15:0Z:32.705304:-87.268843",177,-0.472811370491982,27
"twedt2020:2-23-2023-47:2014-06-27T10:15:0Z:32.700242:-87.26305",177,-0.472644357151455,27
"twedt2020:2-23-2023-48:2014-06-27T10:15:0Z:32.698007:-87.255829",177,-0.472259650892682,27
"twedt2020:2-23-2023-49:2014-06-27T10:15:0Z:32.697576:-87.247519",177,-0.471724187996652,27
"twedt2020:2-23-2023-5:2014-06-27T10:15:0Z:32.785675:-87.490123",177,-0.484081370433172,27
"twedt2020:2-23-2023-50:2014-06-27T10:15:0Z:32.693545:-87.24202",177,-0.471532084676954,27
"twedt2020:2-23-2023-6:2014-06-27T10:15:0Z:32.791061:-87.485034",177,-0.483508181042141,27
"twedt2020:2-23-2023-7:2014-06-27T10:15:0Z:32.793562:-87.47745",177,-0.482893864976035,27
"twedt2020:2-23-2023-8:2014-06-27T10:15:0Z:32.790282:-87.47037",177,-0.482564173804389,27
"twedt2020:2-23-2023-9:2014-06-27T10:15:0Z:32.792135:-87.46279",177,-0.481978263722526,27
"twedt2020:2-25-2025-1:2014-06-12T10:8:0Z:32.658794:-86.717294",162,-0.509524497191111,27
"twedt2020:2-25-2025-10:2014-06-12T10:8:0Z:32.708124:-86.71383",162,-0.507175300783581,27
"twedt2020:2-25-2025-11:2014-06-12T10:8:0Z:32.715286:-86.716222",162,-0.507026998268233,27
"twedt2020:2-25-2025-12:2014-06-12T10:8:0Z:32.721802:-86.71499",162,-0.5066648042202,27
